Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Пестречинский район;452 ;№ 630;Республика Татарстан, Пестречинский район, М7, 876 км;55,650818;49,975287;Магазин;"WI-FI
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.4 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;;;;;;;;;;;;;;
Лаишевский район;452 ;№ 691;"Российская Федерация, Республика Татарстан, Лаишевский муниципальный район, Егорьевское сельское поселение, 727 км автомобильной дороги федерального значения М-12 ""Москва-Нижний Новгород-Казань"" (лево";55,552137;49,487282;"Кафе
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автокафе
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Уличная детская площадка
Услуга заправщика (в дневное время)";50.2 руб.;55.75 руб.;62 руб.;63.35 руб.;50.6 руб.;68.15 руб.;;;;;;;;;;;;;
Лаишевский район;452 ;№ 692;"Российская Федерация, Республика Татарстан, Лаишевский муниципальный район, Егорьевское сельское поселение, 727 км автомобильной дороги федерального значения М-12 ""Москва-Нижний Новгород-Казань"" (право)";55,550451;49,49084;"Кафе
Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автокафе
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Уличная детская площадка
Услуга заправщика (в дневное время)";50.2 руб.;55.75 руб.;62 руб.;63.35 руб.;50.6 руб.;68.15 руб.;;;;;;;;;;;;;
г.Набережные Челны;455 ;№ 9;Республика Татарстан г.Наб.Челны, ул.Королева, 3;55,713156;52,395861;"Автомойка
Кафе
Кафетерий
Магазин
Стоянка";"Автокафе
Автотовары
Выпечка
Зарядная станция для электромобилей (ЭЗС)
Подкачка шин
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Роботизированная мойка
Туалет";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;50.2 руб.;68.15 руб.;25 руб.;0 руб.;;;;;;;;;;;
г.Мензелинск;455 ;№ 584;Мензелинский р-н, трасса М7 (Москва-Уфа), 1110 км;55,66530211;53,18470716;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;50.2 руб.;68.15 руб.;;;;;;;;;;;;;
Республика Удмуртия;455 ;№ 575;УР, г. Ижевск, ул. Песочная, 48;56,876048;53,170069;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет";49.8 руб.;53.9 руб.;;62.65 руб.;;;;;;;;;;;;;;;
Республика Удмуртия;455 ;№ 576;УР, г. Ижевск, ул. Воткинское шоссе, 1а;56,888013;53,22987;"Кафе
Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет";49.8 руб.;53.9 руб.;;62.65 руб.;;;;;;;;;;;;;;;
Республика Удмуртия;455 ;№ 577;УР, г. Ижевск, ул. Камбарская, 1а;56,834232;53,281532;"Кафе
Магазин
Стоянка";"Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет";49.8 руб.;53.9 руб.;61.35 руб.;62.65 руб.;;;;;;;;;;;;;;;
Республика Удмуртия;455 ;№ 578;УР, Завьяловский район, а/д Аэропорт - Гольяны (перекресток объездной г. Ижевска и Гольянского тракта);56,802359;53,447728;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет";49.8 руб.;53.9 руб.;61.1 руб.;62.65 руб.;;;;;;;;;;;;;;;
Республика Удмуртия;455 ;№ 611;Удмуртская Республика, г. Ижевск, ул. Союзная, 165;56,863095;53,303397;Магазин;"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Наличные с покупкой
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";49.8 руб.;53.9 руб.;61.35 руб.;62.65 руб.;;;;;;;;;;;;;;;
